doc,type,topic,count
1,1601,31,16
1,1602,35,16
1,1603,12,16
1,1604,17,16
1,1605,29,16
1,1606,12,16
1,1607,20,16
1,1608,12,16
1,1609,2,16
1,1610,38,16
1,1611,39,16
1,1612,22,16
1,1613,39,16
1,1614,2,16
1,1615,15,15
1,1616,15,15
1,1617,34,15
1,1618,16,15
1,1619,23,15
1,1620,39,15
1,1621,31,15
1,1622,35,15
1,1623,14,15
1,1624,20,15
1,1625,36,15
1,1626,25,15
1,1627,19,15
1,1628,36,15
1,1629,28,15
1,1630,25,15
1,1631,15,15
1,1632,12,15
1,1633,16,15
1,1634,28,15
1,1635,29,15
1,1636,29,15
1,1637,34,15
1,1638,12,15
